Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
PERSISTENT,Persistent Systems,Social,Health and Safety Incidents,2024.0,Count,Reported,Social metric: 2024.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
PERSISTENT,Persistent Systems,Governance,Board Size,9.0,Count,Reported,Governance metric: 9.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
PERSISTENT,Persistent Systems,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
PERSISTENT,Persistent Systems,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
PERSISTENT,Persistent Systems,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
PERSISTENT,Persistent Systems,Governance,Ethics Policy Violations,0.0,Count,Reported,Governance metric: 0.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Environmental,Total Energy Consumption,,GWh,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Environmental,Renewable Energy Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Environmental,Total Water Consumption,,KL,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Environmental,Total Waste Generated,5.0,MT,Reported,Environmental metric: 5.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Environmental,Waste Recycled Percentage,100.0,%,Reported,Environmental metric: 100.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Social,Total Employees,1279.0,Count,Reported,Social metric: 1279.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Social,Female Employee Percentage,0.11,%,Reported,Social metric: 0.11,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Social,Employee Turnover Rate,90.0,%,Reported,Social metric: 90.0,False,None,6.0,1,,2026-09-03
