Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
LTIM,LTIMindtree,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Ethics Policy Violations,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Total Energy Consumption,,GWh,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Total Employees,14.0,Count,27.0,Auto-extracted (Needs Review),keyword_context,0.4,Outlier/Suspect,True,2026-09-03,Outside expected bounds 100-10000000; Method: keyword_context; Keyword: workforce
MPHASIS,Mphasis,Social,Female Employee Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Employee Turnover Rate,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Board Size,31.0,Count,3.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: board of directors; Within expected range
MPHASIS,Mphasis,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
MPHASIS,Mphasis,Governance,Audit Committee Size,24.0,Count,14.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: audit committee; Within expected range
MPHASIS,Mphasis,Governance,Ethics Policy Violations,1.0,Count,8.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: complaints; Within expected range
PERSISTENT,Persistent Systems,Environmental,Total Energy Consumption,1.0,GWh,23.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total energy; Within expected range
PERSISTENT,Persistent Systems,Environmental,Renewable Energy Percentage,100.0,%,9.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: renewable energy; Within expected range
PERSISTENT,Persistent Systems,Environmental,Total Water Consumption,100.0,KL,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: water consumption; Within expected range
PERSISTENT,Persistent Systems,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Environmental,Total Waste Generated,2024.0,MT,24.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total waste; Within expected range
PERSISTENT,Persistent Systems,Environmental,Waste Recycled Percentage,100.0,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: recycling; Within expected range
PERSISTENT,Persistent Systems,Social,Total Employees,2389.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total employees; Within expected range
PERSISTENT,Persistent Systems,Social,Female Employee Percentage,35.0,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: gender diversity; Within expected range
